code,name,type
32607,WGS 84 / UTM zone 7N,Projected CRS
32608,WGS 84 / UTM zone 8N,Projected CRS
32609,WGS 84 / UTM zone 9N,Projected CRS
32610,WGS 84 / UTM zone 10N,Projected CRS
32611,WGS 84 / UTM zone 11N,Projected CRS
32612,WGS 84 / UTM zone 12N,Projected CRS
32613,WGS 84 / UTM zone 13N,Projected CRS
32614,WGS 84 / UTM zone 14N,Projected CRS
32615,WGS 84 / UTM zone 15N,Projected CRS
32616,WGS 84 / UTM zone 16N,Projected CRS
32617,WGS 84 / UTM zone 17N,Projected CRS
32618,WGS 84 / UTM zone 18N,Projected CRS
32619,WGS 84 / UTM zone 19N,Projected CRS
32620,WGS 84 / UTM zone 20N,Projected CRS
32621,WGS 84 / UTM zone 21N,Projected CRS
32622,WGS 84 / UTM zone 22N,Projected CRS
32623,WGS 84 / UTM zone 23N,Projected CRS
32624,WGS 84 / UTM zone 24N,Projected CRS
32625,WGS 84 / UTM zone 25N,Projected CRS
32626,WGS 84 / UTM zone 26N,Projected CRS
32627,WGS 84 / UTM zone 27N,Projected CRS
32628,WGS 84 / UTM zone 28N,Projected CRS
32629,WGS 84 / UTM zone 29N,Projected CRS
32630,WGS 84 / UTM zone 30N,Projected CRS
32631,WGS 84 / UTM zone 31N,Projected CRS
32632,WGS 84 / UTM zone 32N,Projected CRS
32633,WGS 84 / UTM zone 33N,Projected CRS
32634,WGS 84 / UTM zone 34N,Projected CRS
32635,WGS 84 / UTM zone 35N,Projected CRS
32636,WGS 84 / UTM zone 36N,Projected CRS
32637,WGS 84 / UTM zone 37N,Projected CRS
32638,WGS 84 / UTM zone 38N,Projected CRS
32639,WGS 84 / UTM zone 39N,Projected CRS
32640,WGS 84 / UTM zone 40N,Projected CRS
32641,WGS 84 / UTM zone 41N,Projected CRS
32642,WGS 84 / UTM zone 42N,Projected CRS
32643,WGS 84 / UTM zone 43N,Projected CRS
32644,WGS 84 / UTM zone 44N,Projected CRS
32645,WGS 84 / UTM zone 45N,Projected CRS
32646,WGS 84 / UTM zone 46N,Projected CRS
32647,WGS 84 / UTM zone 47N,Projected CRS
32648,WGS 84 / UTM zone 48N,Projected CRS
32649,WGS 84 / UTM zone 49N,Projected CRS
32650,WGS 84 / UTM zone 50N,Projected CRS
32651,WGS 84 / UTM zone 51N,Projected CRS
32652,WGS 84 / UTM zone 52N,Projected CRS
32653,WGS 84 / UTM zone 53N,Projected CRS
32654,WGS 84 / UTM zone 54N,Projected CRS
32655,WGS 84 / UTM zone 55N,Projected CRS
32656,WGS 84 / UTM zone 56N,Projected CRS
32657,WGS 84 / UTM zone 57N,Projected CRS
32658,WGS 84 / UTM zone 58N,Projected CRS
32659,WGS 84 / UTM zone 59N,Projected CRS
32660,WGS 84 / UTM zone 60N,Projected CRS
32661,"WGS 84 / UPS North (N,E)",Projected CRS
32664,WGS 84 / BLM 14N (ftUS),Projected CRS
32665,WGS 84 / BLM 15N (ftUS),Projected CRS
32666,WGS 84 / BLM 16N (ftUS),Projected CRS
32667,WGS 84 / BLM 17N (ftUS),Projected CRS
32700,WGS 84 / UTM grid system (southern hemisphere),Projected CRS
32701,WGS 84 / UTM zone 1S,Projected CRS
32702,WGS 84 / UTM zone 2S,Projected CRS
32703,WGS 84 / UTM zone 3S,Projected CRS
32704,WGS 84 / UTM zone 4S,Projected CRS
32705,WGS 84 / UTM zone 5S,Projected CRS
32706,WGS 84 / UTM zone 6S,Projected CRS
32707,WGS 84 / UTM zone 7S,Projected CRS
32708,WGS 84 / UTM zone 8S,Projected CRS
32709,WGS 84 / UTM zone 9S,Projected CRS
32710,WGS 84 / UTM zone 10S,Projected CRS
32711,WGS 84 / UTM zone 11S,Projected CRS
32712,WGS 84 / UTM zone 12S,Projected CRS
32713,WGS 84 / UTM zone 13S,Projected CRS
32714,WGS 84 / UTM zone 14S,Projected CRS
32715,WGS 84 / UTM zone 15S,Projected CRS
32716,WGS 84 / UTM zone 16S,Projected CRS
32717,WGS 84 / UTM zone 17S,Projected CRS
32718,WGS 84 / UTM zone 18S,Projected CRS
32719,WGS 84 / UTM zone 19S,Projected CRS
32720,WGS 84 / UTM zone 20S,Projected CRS
32721,WGS 84 / UTM zone 21S,Projected CRS
32722,WGS 84 / UTM zone 22S,Projected CRS
32723,WGS 84 / UTM zone 23S,Projected CRS
32724,WGS 84 / UTM zone 24S,Projected CRS
32725,WGS 84 / UTM zone 25S,Projected CRS
32726,WGS 84 / UTM zone 26S,Projected CRS
32727,WGS 84 / UTM zone 27S,Projected CRS
32728,WGS 84 / UTM zone 28S,Projected CRS
32729,WGS 84 / UTM zone 29S,Projected CRS
32730,WGS 84 / UTM zone 30S,Projected CRS
32731,WGS 84 / UTM zone 31S,Projected CRS
32732,WGS 84 / UTM zone 32S,Projected CRS
32733,WGS 84 / UTM zone 33S,Projected CRS
32734,WGS 84 / UTM zone 34S,Projected CRS
32735,WGS 84 / UTM zone 35S,Projected CRS
32736,WGS 84 / UTM zone 36S,Projected CRS
32737,WGS 84 / UTM zone 37S,Projected CRS
32738,WGS 84 / UTM zone 38S,Projected CRS
32739,WGS 84 / UTM zone 39S,Projected CRS
32740,WGS 84 / UTM zone 40S,Projected CRS
32741,WGS 84 / UTM zone 41S,Projected CRS
32742,WGS 84 / UTM zone 42S,Projected CRS
32743,WGS 84 / UTM zone 43S,Projected CRS
32744,WGS 84 / UTM zone 44S,Projected CRS
32745,WGS 84 / UTM zone 45S,Projected CRS
32746,WGS 84 / UTM zone 46S,Projected CRS
32747,WGS 84 / UTM zone 47S,Projected CRS
32748,WGS 84 / UTM zone 48S,Projected CRS
32749,WGS 84 / UTM zone 49S,Projected CRS
32750,WGS 84 / UTM zone 50S,Projected CRS
32751,WGS 84 / UTM zone 51S,Projected CRS
32752,WGS 84 / UTM zone 52S,Projected CRS
32753,WGS 84 / UTM zone 53S,Projected CRS
32754,WGS 84 / UTM zone 54S,Projected CRS
32755,WGS 84 / UTM zone 55S,Projected CRS
32756,WGS 84 / UTM zone 56S,Projected CRS
32757,WGS 84 / UTM zone 57S,Projected CRS
32758,WGS 84 / UTM zone 58S,Projected CRS
32759,WGS 84 / UTM zone 59S,Projected CRS
32760,WGS 84 / UTM zone 60S,Projected CRS
32761,"WGS 84 / UPS South (N,E)",Projected CRS
32766,WGS 84 / TM 36 SE,Projected CRS
