code,name,type
2380,Xian 1980 / 3-degree Gauss-Kruger CM 105E,Projected CRS
2381,Xian 1980 / 3-degree Gauss-Kruger CM 108E,Projected CRS
2382,Xian 1980 / 3-degree Gauss-Kruger CM 111E,Projected CRS
2383,Xian 1980 / 3-degree Gauss-Kruger CM 114E,Projected CRS
2384,Xian 1980 / 3-degree Gauss-Kruger CM 117E,Projected CRS
2385,Xian 1980 / 3-degree Gauss-Kruger CM 120E,Projected CRS
2386,Xian 1980 / 3-degree Gauss-Kruger CM 123E,Projected CRS
2387,Xian 1980 / 3-degree Gauss-Kruger CM 126E,Projected CRS
2388,Xian 1980 / 3-degree Gauss-Kruger CM 129E,Projected CRS
2389,Xian 1980 / 3-degree Gauss-Kruger CM 132E,Projected CRS
2390,Xian 1980 / 3-degree Gauss-Kruger CM 135E,Projected CRS
2391,KKJ / Finland zone 1,Projected CRS
2392,KKJ / Finland zone 2,Projected CRS
2393,KKJ / Finland Uniform Coordinate System,Projected CRS
2394,KKJ / Finland zone 4,Projected CRS
2395,South Yemen / Gauss-Kruger zone 8,Projected CRS
2396,South Yemen / Gauss-Kruger zone 9,Projected CRS
2397,Pulkovo 1942(83) / 3-degree Gauss-Kruger zone 3,Projected CRS
2398,Pulkovo 1942(83) / 3-degree Gauss-Kruger zone 4,Projected CRS
2399,Pulkovo 1942(83) / 3-degree Gauss-Kruger zone 5,Projected CRS
2401,Beijing 1954 / 3-degree Gauss-Kruger zone 25,Projected CRS
2402,Beijing 1954 / 3-degree Gauss-Kruger zone 26,Projected CRS
2403,Beijing 1954 / 3-degree Gauss-Kruger zone 27,Projected CRS
2404,Beijing 1954 / 3-degree Gauss-Kruger zone 28,Projected CRS
2405,Beijing 1954 / 3-degree Gauss-Kruger zone 29,Projected CRS
2406,Beijing 1954 / 3-degree Gauss-Kruger zone 30,Projected CRS
2407,Beijing 1954 / 3-degree Gauss-Kruger zone 31,Projected CRS
2408,Beijing 1954 / 3-degree Gauss-Kruger zone 32,Projected CRS
2409,Beijing 1954 / 3-degree Gauss-Kruger zone 33,Projected CRS
2410,Beijing 1954 / 3-degree Gauss-Kruger zone 34,Projected CRS
2411,Beijing 1954 / 3-degree Gauss-Kruger zone 35,Projected CRS
2412,Beijing 1954 / 3-degree Gauss-Kruger zone 36,Projected CRS
2413,Beijing 1954 / 3-degree Gauss-Kruger zone 37,Projected CRS
2414,Beijing 1954 / 3-degree Gauss-Kruger zone 38,Projected CRS
2415,Beijing 1954 / 3-degree Gauss-Kruger zone 39,Projected CRS
2416,Beijing 1954 / 3-degree Gauss-Kruger zone 40,Projected CRS
2417,Beijing 1954 / 3-degree Gauss-Kruger zone 41,Projected CRS
2418,Beijing 1954 / 3-degree Gauss-Kruger zone 42,Projected CRS
2419,Beijing 1954 / 3-degree Gauss-Kruger zone 43,Projected CRS
2420,Beijing 1954 / 3-degree Gauss-Kruger zone 44,Projected CRS
2421,Beijing 1954 / 3-degree Gauss-Kruger zone 45,Projected CRS
2422,Beijing 1954 / 3-degree Gauss-Kruger CM 75E,Projected CRS
2423,Beijing 1954 / 3-degree Gauss-Kruger CM 78E,Projected CRS
2424,Beijing 1954 / 3-degree Gauss-Kruger CM 81E,Projected CRS
2425,Beijing 1954 / 3-degree Gauss-Kruger CM 84E,Projected CRS
2426,Beijing 1954 / 3-degree Gauss-Kruger CM 87E,Projected CRS
2427,Beijing 1954 / 3-degree Gauss-Kruger CM 90E,Projected CRS
2428,Beijing 1954 / 3-degree Gauss-Kruger CM 93E,Projected CRS
2429,Beijing 1954 / 3-degree Gauss-Kruger CM 96E,Projected CRS
2430,Beijing 1954 / 3-degree Gauss-Kruger CM 99E,Projected CRS
2431,Beijing 1954 / 3-degree Gauss-Kruger CM 102E,Projected CRS
2432,Beijing 1954 / 3-degree Gauss-Kruger CM 105E,Projected CRS
2433,Beijing 1954 / 3-degree Gauss-Kruger CM 108E,Projected CRS
2434,Beijing 1954 / 3-degree Gauss-Kruger CM 111E,Projected CRS
2435,Beijing 1954 / 3-degree Gauss-Kruger CM 114E,Projected CRS
2436,Beijing 1954 / 3-degree Gauss-Kruger CM 117E,Projected CRS
2437,Beijing 1954 / 3-degree Gauss-Kruger CM 120E,Projected CRS
2438,Beijing 1954 / 3-degree Gauss-Kruger CM 123E,Projected CRS
2439,Beijing 1954 / 3-degree Gauss-Kruger CM 126E,Projected CRS
2440,Beijing 1954 / 3-degree Gauss-Kruger CM 129E,Projected CRS
2441,Beijing 1954 / 3-degree Gauss-Kruger CM 132E,Projected CRS
2442,Beijing 1954 / 3-degree Gauss-Kruger CM 135E,Projected CRS
2443,JGD2000 / Japan Plane Rectangular CS I,Projected CRS
2444,JGD2000 / Japan Plane Rectangular CS II,Projected CRS
2445,JGD2000 / Japan Plane Rectangular CS III,Projected CRS
2446,JGD2000 / Japan Plane Rectangular CS IV,Projected CRS
2447,JGD2000 / Japan Plane Rectangular CS V,Projected CRS
2448,JGD2000 / Japan Plane Rectangular CS VI,Projected CRS
2449,JGD2000 / Japan Plane Rectangular CS VII,Projected CRS
2450,JGD2000 / Japan Plane Rectangular CS VIII,Projected CRS
2451,JGD2000 / Japan Plane Rectangular CS IX,Projected CRS
2452,JGD2000 / Japan Plane Rectangular CS X,Projected CRS
2453,JGD2000 / Japan Plane Rectangular CS XI,Projected CRS
2454,JGD2000 / Japan Plane Rectangular CS XII,Projected CRS
2455,JGD2000 / Japan Plane Rectangular CS XIII,Projected CRS
2456,JGD2000 / Japan Plane Rectangular CS XIV,Projected CRS
2457,JGD2000 / Japan Plane Rectangular CS XV,Projected CRS
2458,JGD2000 / Japan Plane Rectangular CS XVI,Projected CRS
2459,JGD2000 / Japan Plane Rectangular CS XVII,Projected CRS
2460,JGD2000 / Japan Plane Rectangular CS XVIII,Projected CRS
2461,JGD2000 / Japan Plane Rectangular CS XIX,Projected CRS
2462,Albanian 1987 / Gauss-Kruger zone 4,Projected CRS
2463,Pulkovo 1995 / Gauss-Kruger CM 21E,Projected CRS
2464,Pulkovo 1995 / Gauss-Kruger CM 27E,Projected CRS
2465,Pulkovo 1995 / Gauss-Kruger CM 33E,Projected CRS
2466,Pulkovo 1995 / Gauss-Kruger CM 39E,Projected CRS
2467,Pulkovo 1995 / Gauss-Kruger CM 45E,Projected CRS
2468,Pulkovo 1995 / Gauss-Kruger CM 51E,Projected CRS
2469,Pulkovo 1995 / Gauss-Kruger CM 57E,Projected CRS
2470,Pulkovo 1995 / Gauss-Kruger CM 63E,Projected CRS
2471,Pulkovo 1995 / Gauss-Kruger CM 69E,Projected CRS
2472,Pulkovo 1995 / Gauss-Kruger CM 75E,Projected CRS
2473,Pulkovo 1995 / Gauss-Kruger CM 81E,Projected CRS
2474,Pulkovo 1995 / Gauss-Kruger CM 87E,Projected CRS
2475,Pulkovo 1995 / Gauss-Kruger CM 93E,Projected CRS
2476,Pulkovo 1995 / Gauss-Kruger CM 99E,Projected CRS
2477,Pulkovo 1995 / Gauss-Kruger CM 105E,Projected CRS
2478,Pulkovo 1995 / Gauss-Kruger CM 111E,Projected CRS
2479,Pulkovo 1995 / Gauss-Kruger CM 117E,Projected CRS
2480,Pulkovo 1995 / Gauss-Kruger CM 123E,Projected CRS
2481,Pulkovo 1995 / Gauss-Kruger CM 129E,Projected CRS
2482,Pulkovo 1995 / Gauss-Kruger CM 135E,Projected CRS
2483,Pulkovo 1995 / Gauss-Kruger CM 141E,Projected CRS
2484,Pulkovo 1995 / Gauss-Kruger CM 147E,Projected CRS
2485,Pulkovo 1995 / Gauss-Kruger CM 153E,Projected CRS
2486,Pulkovo 1995 / Gauss-Kruger CM 159E,Projected CRS
2487,Pulkovo 1995 / Gauss-Kruger CM 165E,Projected CRS
2488,Pulkovo 1995 / Gauss-Kruger CM 171E,Projected CRS
2489,Pulkovo 1995 / Gauss-Kruger CM 177E,Projected CRS
2490,Pulkovo 1995 / Gauss-Kruger CM 177W,Projected CRS
2491,Pulkovo 1995 / Gauss-Kruger CM 171W,Projected CRS
2494,Pulkovo 1942 / Gauss-Kruger CM 21E,Projected CRS
2495,Pulkovo 1942 / Gauss-Kruger CM 27E,Projected CRS
2496,Pulkovo 1942 / Gauss-Kruger CM 33E,Projected CRS
2497,Pulkovo 1942 / Gauss-Kruger CM 39E,Projected CRS
2498,Pulkovo 1942 / Gauss-Kruger CM 45E,Projected CRS
2499,Pulkovo 1942 / Gauss-Kruger CM 51E,Projected CRS
2500,Pulkovo 1942 / Gauss-Kruger CM 57E,Projected CRS
2501,Pulkovo 1942 / Gauss-Kruger CM 63E,Projected CRS
2502,Pulkovo 1942 / Gauss-Kruger CM 69E,Projected CRS
2503,Pulkovo 1942 / Gauss-Kruger CM 75E,Projected CRS
2504,Pulkovo 1942 / Gauss-Kruger CM 81E,Projected CRS
2505,Pulkovo 1942 / Gauss-Kruger CM 87E,Projected CRS
2506,Pulkovo 1942 / Gauss-Kruger CM 93E,Projected CRS
2507,Pulkovo 1942 / Gauss-Kruger CM 99E,Projected CRS
2508,Pulkovo 1942 / Gauss-Kruger CM 105E,Projected CRS
